RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,,,,,150,,78,Bankruptcy,Mean Shift,335.39345836639404,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
57,,,,,150,,79,Bankruptcy,Affinity Propagation,137.20839381217957,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,0.5,,,,0.3,80,Bankruptcy,Optics,53.74144911766052,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
965,2,,,,300,,81,Bankruptcy,K-means,0.031136751174926758,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,2,1.0,,,,,82,Bankruptcy,DBScan,0.15477871894836426,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,2,,Average,,,,83,Bankruptcy,Agglomerative Clustering - Average,2.118786096572876,0.9678838539375275,0.9678838539375275,0.00846950562439488,0.9377664109121909
965,2,,,,,,84,Bankruptcy,Spectral Clustering,9.372129678726196,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,2,,,1.0,,,85,Bankruptcy,Birch,2.799677848815918,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,,,,300,,86,Bankruptcy,Mean Shift,322.97160363197327,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
965,,,,,300,,87,Bankruptcy,Affinity Propagation,272.8587508201599,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,1.0,,,,0.5,88,Bankruptcy,Optics,53.79449701309204,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
7821,3,,,,500,,89,Bankruptcy,K-means,0.036325931549072266,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,3,1.5,,,,,90,Bankruptcy,DBScan,0.15390682220458984,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,3,,Single,,,,91,Bankruptcy,Agglomerative Clustering - Single,2.3168604373931885,0.9680305030063059,0.9680305030063059,0.016870155232753387,0.9380417791672587
7821,3,,,,,,92,Bankruptcy,Spectral Clustering,9.3187415599823,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,3,,,1.5,,,93,Bankruptcy,Birch,2.755150079727173,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,,,,500,,94,Bankruptcy,Mean Shift,313.5225260257721,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
7821,,,,,500,,95,Bankruptcy,Affinity Propagation,166.05627298355103,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
,,1.5,,,,0.8,96,Bankruptcy,Optics,53.76286435127258,0.967737204868749,0.967737204868749,0.0,0.9374911208978548
10,1,,,,100,,97,Obesity,K-means,0.013785600662231445,0.4571293225959261,0.4571293225959261,0.19234618247603674,0.29628492477740254
,1,0.1,,,,,98,Obesity,DBScan,0.019468069076538086,0.3093320701089531,0.3093320701089531,0.06819422592299498,0.18296441580274586
,1,,Ward,,,,99,Obesity,Agglomerative Clustering - Ward,0.09382796287536621,0.46565608716248225,0.4656560871624822,0.24222863232686956,0.30348873108984253
10,1,,,,,,100,Obesity,Spectral Clustering,0.7330877780914307,0.3988630980577925,0.3988630980577925,0.1546281770496885,0.24911242603550296
,1,,,0.1,,,101,Obesity,Birch,0.1478285789489746,0.4050213169114164,0.4050213169114164,0.17482645324035084,0.25393525393525396
,,,,,100,,102,Obesity,Mean Shift,78.6201012134552,0.17100900047370915,0.17100900047370915,0.0003267343962842248,0.0934990934990935
10,,,,,100,,103,Obesity,Affinity Propagation,8.751597881317139,0.6935101847465656,0.6935101847465656,0.4625885463821437,0.5308194343727338
